Account,University of Greenwich,From,01/04/2023,,,,,,,,,,,,,
Customer,University of Greenwich,To,01/04/2025,,,,,,,,,,,,,
Location,University of Greenwich,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Bronte Building Water [m設 [Bronte],Dome/Tudor Water [m設 [The Dome],Fry Building Water [m設 [Fry],Fussey Water [m設 [David Fussey],Grey Building Water [m設 [Grey],Library Water [m設 [Library],Seacole Water [m設 [Mary Seacole],Southwood House Water [m設 [Southwood House],WM15 Ambient Loop Make up Water [m設 [Central Plantroom],WM2 Energy Centre Main Incoming Water [m設 [Central Plantroom],WM4 Southwood and Fussey Make up Water [m設 [Central Plantroom],WM5.1 Fry Building Heating Make up Water [m設 [Fry],WM5 Fry Building Heating Make up Water Incoming [m設 [Fry],WM6 Grey Heating System Make up Water [m設 [Grey],WM7 Bronte Heating System Make up Water [m設 [Bronte]
,TOTAL,581.17,"14,793.50","1,151.11","1,453.67",421.71,"6,98,73,408.57",898.62,408.31,0.23,2.69,0.00,2.28,2.52,0.17,0.33
,AVERAGE,0.02,0.42,0.05,0.04,0.01,"1,991.38",0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MEDIAN,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MAX,0.50,1.68,743.22,4.18,0.39,"1,57,000.00",0.58,0.36,0.02,0.25,0.00,0.23,0.24,0.02,0.05
,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Bronte Building Water [m設 [Bronte],Dome/Tudor Water [m設 [The Dome],Fry Building Water [m設 [Fry],Fussey Water [m設 [David Fussey],Grey Building Water [m設 [Grey],Library Water [m設 [Library],Seacole Water [m設 [Mary Seacole],Southwood House Water [m設 [Southwood House],WM15 Ambient Loop Make up Water [m設 [Central Plantroom],WM2 Energy Centre Main Incoming Water [m設 [Central Plantroom],WM4 Southwood and Fussey Make up Water [m設 [Central Plantroom],WM5.1 Fry Building Heating Make up Water [m設 [Fry],WM5 Fry Building Heating Make up Water Incoming [m設 [Fry],WM6 Grey Heating System Make up Water [m設 [Grey],WM7 Bronte Heating System Make up Water [m設 [Bronte]
01-04-2023,00:00,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,00:30,0.00,0.00,,0.52,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,01:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,01:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,02:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,02:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,03:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,03:30,0.00,0.00,,0.00,0.00,0.00,0.02,0.00,,,,,,,
01-04-2023,04:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,04:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,05:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,05:30,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,,,,,,,
01-04-2023,06:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,06:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,07:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,07:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,08:00,0.00,0.00,,0.00,0.00,"45,000.00",0.00,0.00,,,,,,,
01-04-2023,08:30,0.00,0.00,,0.00,0.00,"2,000.00",0.00,0.00,,,,,,,
01-04-2023,09:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,09:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,10:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,10:30,0.00,0.00,,0.47,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,11:00,0.00,0.00,,0.05,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,11:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,12:00,0.00,0.00,,0.00,0.00,"12,000.00",0.00,0.00,,,,,,,
01-04-2023,12:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,13:00,0.00,0.00,,0.00,0.00,"5,000.00",0.00,0.00,,,,,,,
01-04-2023,13:30,0.00,0.00,,0.00,0.00,"5,000.00",0.00,0.00,,,,,,,
01-04-2023,14:00,0.00,0.00,,0.00,0.01,"5,000.00",0.00,0.00,,,,,,,
01-04-2023,14:30,0.00,0.00,,0.00,0.01,"8,000.00",0.00,0.00,,,,,,,
01-04-2023,15:00,0.00,0.00,,0.00,0.00,"9,000.00",0.00,0.00,,,,,,,
01-04-2023,15:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,16:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,16:30,0.00,0.00,,0.00,0.01,"4,000.00",0.00,0.00,,,,,,,
01-04-2023,17:00,0.00,0.00,,0.00,0.00,"2,000.00",0.00,0.00,,,,,,,
01-04-2023,17:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,18:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,18:30,0.00,0.00,,0.15,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,19:00,0.00,0.00,,0.37,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,19:30,0.00,0.00,,0.00,0.00,"7,000.00",0.00,0.00,,,,,,,
01-04-2023,20:00,0.00,0.00,,0.00,0.00,"5,000.00",0.00,0.00,,,,,,,
01-04-2023,20:30,0.00,0.00,,0.00,0.00,"2,000.00",0.00,0.00,,,,,,,
01-04-2023,21:00,0.00,0.00,,0.00,0.00,"30,000.00",0.00,0.00,,,,,,,
01-04-2023,21:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,22:00,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,22:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,23:00,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,,,,,,,
01-04-2023,23:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,00:00,0.00,0.00,,0.00,0.00,"5,000.00",0.00,0.00,,,,,,,
02-04-2023,00:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,01:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,01:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,02:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,02:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,03:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,03:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,04:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,04:30,0.00,0.00,,0.51,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,05:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,05:30,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,,,,,,,
02-04-2023,06:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,06:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,07:00,0.00,0.00,,0.00,0.00,"23,000.00",0.00,0.00,,,,,,,
02-04-2023,07:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,08:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,08:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,09:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,09:30,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,,,,,,,
02-04-2023,10:00,0.00,0.00,,0.00,0.01,"8,000.00",0.00,0.00,,,,,,,
02-04-2023,10:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,11:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,11:30,0.00,0.00,,0.00,0.00,"5,000.00",0.00,0.00,,,,,,,
02-04-2023,12:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,12:30,0.00,0.00,,0.00,0.00,"11,000.00",0.00,0.00,,,,,,,
02-04-2023,13:00,0.00,0.00,,0.00,0.00,"6,000.00",0.00,0.00,,,,,,,
02-04-2023,13:30,0.00,0.00,,0.00,0.00,"15,000.00",0.00,0.00,,,,,,,
02-04-2023,14:00,0.00,0.00,,0.31,0.00,"17,000.00",0.00,0.00,,,,,,,
02-04-2023,14:30,0.00,0.00,,0.20,0.00,"13,000.00",0.00,0.00,,,,,,,
02-04-2023,15:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,15:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,16:00,0.00,0.00,,0.00,0.00,"18,000.00",0.00,0.00,,,,,,,
02-04-2023,16:30,0.00,0.00,,0.00,0.00,"18,000.00",0.00,0.01,,,,,,,
02-04-2023,17:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,17:30,0.00,0.00,,0.00,0.00,"8,000.00",0.00,0.00,,,,,,,
02-04-2023,18:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,18:30,0.00,0.00,,0.00,0.00,"29,000.00",0.00,0.00,,,,,,,
02-04-2023,19:00,0.00,0.00,,0.00,0.00,"5,000.00",0.00,0.00,,,,,,,
02-04-2023,19:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
02-04-2023,20:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,20:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
02-04-2023,21:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,21:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,22:00,0.00,0.00,,0.00,0.00,"9,000.00",0.00,0.00,,,,,,,
02-04-2023,22:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
02-04-2023,23:00,0.00,0.00,,0.00,0.00,"5,000.00",0.00,0.00,,,,,,,
02-04-2023,23:30,0.00,0.00,,0.52,0.00,"5,000.00",0.00,0.00,,,,,,,
03-04-2023,00:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,00:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,01:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,01:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,02:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,02:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,03:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,03:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,04:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,04:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,05:00,0.00,0.00,,0.00,0.00,"16,000.00",0.00,0.00,,,,,,,
03-04-2023,05:30,0.00,0.00,,0.00,0.00,"39,000.00",0.02,0.00,,,,,,,
03-04-2023,06:00,0.09,0.00,,0.00,0.00,"34,000.00",0.09,0.00,,,,,,,
03-04-2023,06:30,0.22,0.00,,0.00,0.01,0.00,0.03,0.00,,,,,,,
03-04-2023,07:00,0.00,0.00,,0.00,0.03,"10,000.00",0.00,0.01,,,,,,,
03-04-2023,07:30,0.00,0.00,,0.51,0.01,"18,000.00",0.01,0.02,,,,,,,
03-04-2023,08:00,0.04,0.00,,0.00,0.01,"38,000.00",0.01,0.01,,,,,,,
03-04-2023,08:30,0.01,0.00,,0.00,0.02,"45,000.00",0.07,0.02,,,,,,,
03-04-2023,09:00,0.00,0.00,,0.00,0.00,"13,000.00",0.02,0.12,,,,,,,
03-04-2023,09:30,0.01,0.00,,0.00,0.00,"22,000.00",0.04,0.01,,,,,,,
03-04-2023,10:00,0.00,0.00,,0.00,0.04,"4,000.00",0.09,0.00,,,,,,,
03-04-2023,10:30,0.00,0.00,,0.52,0.01,"23,000.00",0.06,0.01,,,,,,,
03-04-2023,11:00,0.01,0.00,,0.00,0.02,"13,000.00",0.05,0.01,,,,,,,
03-04-2023,11:30,0.01,0.00,,0.00,0.01,"35,000.00",0.03,0.03,,,,,,,
03-04-2023,12:00,0.01,0.00,,0.50,0.00,"18,000.00",0.10,0.07,,,,,,,
03-04-2023,12:30,0.00,0.00,,0.00,0.01,"38,000.00",0.10,0.00,,,,,,,
03-04-2023,13:00,0.31,0.00,,0.58,0.03,"64,000.00",0.06,0.10,,,,,,,
03-04-2023,13:30,0.02,0.00,,0.00,0.04,"26,000.00",0.03,0.02,,,,,,,
03-04-2023,14:00,0.00,0.00,,0.00,0.04,"38,000.00",0.07,0.00,,,,,,,
03-04-2023,14:30,0.06,0.00,,0.00,0.01,"22,000.00",0.06,0.01,,,,,,,
03-04-2023,15:00,0.01,0.00,,0.52,0.02,"69,000.00",0.07,0.01,,,,,,,
03-04-2023,15:30,0.03,0.00,,0.00,0.10,"55,000.00",0.02,0.07,,,,,,,
03-04-2023,16:00,0.01,0.00,,0.00,0.24,"48,000.00",0.00,0.05,,,,,,,
03-04-2023,16:30,0.05,0.00,,0.00,0.20,"26,000.00",0.00,0.00,,,,,,,
03-04-2023,17:00,0.00,0.00,,0.00,0.16,"21,000.00",0.01,0.00,,,,,,,
03-04-2023,17:30,0.01,0.00,,0.00,0.19,"16,000.00",0.00,0.00,,,,,,,
03-04-2023,18:00,0.00,0.00,,0.00,0.05,"16,000.00",0.00,0.00,,,,,,,
03-04-2023,18:30,0.00,0.00,,0.00,0.00,"10,000.00",0.00,0.10,,,,,,,
03-04-2023,19:00,0.00,0.00,,0.00,0.00,"10,000.00",0.00,0.00,,,,,,,
03-04-2023,19:30,0.00,0.00,,0.00,0.00,"10,000.00",0.00,0.00,,,,,,,
03-04-2023,20:00,0.00,0.00,,0.00,0.00,"19,000.00",0.00,0.00,,,,,,,
03-04-2023,20:30,0.00,0.00,,0.00,0.00,"9,000.00",0.00,0.00,,,,,,,
03-04-2023,21:00,0.00,0.00,,0.00,0.00,"11,000.00",0.00,0.00,,,,,,,
03-04-2023,21:30,0.00,0.00,,0.53,0.01,"17,000.00",0.00,0.00,,,,,,,
03-04-2023,22:00,0.00,0.00,,0.00,0.00,"7,000.00",0.00,0.00,,,,,,,
03-04-2023,22:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,23:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
03-04-2023,23:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
04-04-2023,00:00,0.00,0.00,,0.00,0.00,"8,000.00",0.00,0.00,,,,,,,
04-04-2023,00:30,0.00,0.00,,0.00,0.00,"8,000.00",0.00,0.00,,,,,,,
04-04-2023,01:00,0.00,0.00,,0.00,0.00,0.00,0.02,0.00,,,,,,,
04-04-2023,01:30,0.28,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
04-04-2023,02:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
04-04-2023,02:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
04-04-2023,03:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
04-04-2023,03:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
04-04-2023,04:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
04-04-2023,04:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
04-04-2023,05:00,0.00,0.00,,0.00,0.00,"52,000.00",0.00,0.00,,,,,,,
04-04-2023,05:30,0.00,0.00,,0.00,0.01,"3,000.00",0.01,0.00,,,,,,,
04-04-2023,06:00,0.00,0.00,,0.00,0.00,"23,000.00",0.10,0.00,,,,,,,
04-04-2023,06:30,0.01,0.00,,0.52,0.00,0.00,0.04,0.01,,,,,,,
04-04-2023,07:00,0.00,0.00,,0.00,0.00,"18,000.00",0.00,0.01,,,,,,,
04-04-2023,07:30,0.00,0.00,,0.00,0.00,"26,000.00",0.01,0.02,,,,,,,
04-04-2023,08:00,0.00,0.00,,0.00,0.02,"42,000.00",0.03,0.01,,,,,,,
04-04-2023,08:30,0.01,0.00,,0.00,0.03,"13,000.00",0.01,0.12,,,,,,,
04-04-2023,09:00,0.02,0.00,,0.00,0.03,"34,000.00",0.00,0.00,,,,,,,
04-04-2023,09:30,0.01,0.00,,0.01,0.01,"30,000.00",0.00,0.02,,,,,,,
04-04-2023,10:00,0.33,0.00,,0.00,0.05,"81,000.00",0.02,0.11,,,,,,,
04-04-2023,10:30,0.00,0.00,,0.54,0.02,"53,000.00",0.02,0.11,,,,,,,
04-04-2023,11:00,0.01,0.00,,0.00,0.06,"34,000.00",0.05,0.01,,,,,,,
04-04-2023,11:30,0.36,0.00,,0.00,0.01,"64,000.00",0.02,0.00,,,,,,,
04-04-2023,12:00,0.01,0.00,,0.00,0.03,"57,000.00",0.05,0.10,,,,,,,
04-04-2023,12:30,0.03,0.00,,0.00,0.05,"47,000.00",0.02,0.02,,,,,,,
04-04-2023,13:00,0.34,0.00,,0.51,0.03,"71,000.00",0.07,0.03,,,,,,,
04-04-2023,13:30,0.02,0.00,,0.00,0.06,"55,000.00",0.08,0.10,,,,,,,
04-04-2023,14:00,0.00,0.00,,0.00,0.04,"41,000.00",0.02,0.00,,,,,,,
04-04-2023,14:30,0.31,0.00,,0.01,0.01,"58,000.00",0.05,0.13,,,,,,,
04-04-2023,15:00,0.04,0.00,,0.01,0.01,"58,000.00",0.07,0.02,,,,,,,
04-04-2023,15:30,0.05,0.00,,0.51,0.00,"68,000.00",0.19,0.07,,,,,,,
04-04-2023,16:00,0.10,0.00,,0.00,0.03,"47,000.00",0.03,0.03,,,,,,,
04-04-2023,16:30,0.25,0.00,,0.00,0.02,"71,000.00",0.06,0.00,,,,,,,
04-04-2023,17:00,0.01,0.00,,0.00,0.02,"68,000.00",0.01,0.10,,,,,,,
04-04-2023,17:30,0.00,0.00,,0.00,0.01,"34,000.00",0.00,0.03,,,,,,,
04-04-2023,18:00,0.00,0.00,,0.00,0.00,"32,000.00",0.00,0.00,,,,,,,
04-04-2023,18:30,0.00,0.00,,0.00,0.05,"16,000.00",0.00,0.00,,,,,,,
04-04-2023,19:00,0.00,0.00,,0.00,0.01,"7,000.00",0.00,0.00,,,,,,,
04-04-2023,19:30,0.00,0.00,,0.22,0.00,"18,000.00",0.00,0.00,,,,,,,
04-04-2023,20:00,0.00,0.00,,0.32,0.00,"5,000.00",0.00,0.00,,,,,,,
04-04-2023,20:30,0.00,0.00,,0.00,0.00,"8,000.00",0.00,0.00,,,,,,,
04-04-2023,21:00,0.00,0.00,,0.00,0.00,"5,000.00",0.00,0.00,,,,,,,
04-04-2023,21:30,0.00,0.00,,0.00,0.01,"11,000.00",0.00,0.00,,,,,,,
04-04-2023,22:00,0.00,0.00,,0.00,0.01,"1,000.00",0.00,0.00,,,,,,,
04-04-2023,22:30,0.00,0.00,,0.00,0.00,"2,000.00",0.00,0.00,,,,,,,
04-04-2023,23:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
04-04-2023,23:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,00:00,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
05-04-2023,00:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,01:00,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
05-04-2023,01:30,0.00,0.00,,0.00,0.00,"2,000.00",0.00,0.00,,,,,,,
05-04-2023,02:00,0.00,0.00,,0.00,0.01,0.00,0.01,0.00,,,,,,,
05-04-2023,02:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,03:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,03:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,04:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,04:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,05:00,0.01,0.00,,0.53,0.00,"52,000.00",0.00,0.03,,,,,,,
05-04-2023,05:30,0.00,0.00,,0.00,0.01,"1,000.00",0.00,0.08,,,,,,,
05-04-2023,06:00,0.00,0.00,,0.00,0.00,"15,000.00",0.09,0.00,,,,,,,
05-04-2023,06:30,0.01,0.00,,0.00,0.00,"1,000.00",0.04,0.00,,,,,,,
05-04-2023,07:00,0.00,0.00,,0.00,0.00,0.00,0.03,0.02,,,,,,,
05-04-2023,07:30,0.00,0.00,,0.00,0.01,"6,000.00",0.03,0.00,,,,,,,
05-04-2023,08:00,0.03,0.00,,0.00,0.02,"22,000.00",0.02,0.02,,,,,,,
05-04-2023,08:30,0.25,0.00,,0.00,0.02,"28,000.00",0.03,0.00,,,,,,,
05-04-2023,09:00,0.07,0.00,,0.53,0.01,"31,000.00",0.01,0.10,,,,,,,
05-04-2023,09:30,0.01,0.00,,0.00,0.01,"10,000.00",0.03,0.01,,,,,,,
05-04-2023,10:00,0.00,0.00,,0.00,0.00,"22,000.00",0.07,0.01,,,,,,,
05-04-2023,10:30,0.00,0.00,,0.00,0.00,"22,000.00",0.02,0.10,,,,,,,
05-04-2023,11:00,0.00,0.00,,0.51,0.03,"42,000.00",0.12,0.01,,,,,,,
05-04-2023,11:30,0.01,0.00,,0.00,0.02,"59,000.00",0.05,0.10,,,,,,,
05-04-2023,12:00,0.32,0.00,,0.00,0.04,"82,000.00",0.05,0.02,,,,,,,
05-04-2023,12:30,0.00,0.00,,0.01,0.02,"96,000.00",0.12,0.13,,,,,,,
05-04-2023,13:00,0.01,0.00,,0.50,0.00,"25,000.00",0.09,0.04,,,,,,,
05-04-2023,13:30,0.00,0.00,,0.00,0.01,"17,000.00",0.00,0.13,,,,,,,
05-04-2023,14:00,0.00,0.00,,0.00,0.02,"46,000.00",0.03,0.02,,,,,,,
05-04-2023,14:30,0.32,0.00,,0.46,0.03,"28,000.00",0.08,0.11,,,,,,,
05-04-2023,15:00,0.01,0.00,,0.10,0.05,"56,000.00",0.03,0.01,,,,,,,
05-04-2023,15:30,0.02,0.00,,0.00,0.01,"34,000.00",0.02,0.15,,,,,,,
05-04-2023,16:00,0.00,0.00,,0.00,0.02,"20,000.00",0.07,0.00,,,,,,,
05-04-2023,16:30,0.01,0.00,,0.00,0.06,"60,000.00",0.12,0.01,,,,,,,
05-04-2023,17:00,0.00,0.00,,0.00,0.01,"34,000.00",0.00,0.09,,,,,,,
05-04-2023,17:30,0.00,0.00,,0.00,0.00,"56,000.00",0.00,0.00,,,,,,,
05-04-2023,18:00,0.02,0.00,,0.23,0.00,"17,000.00",0.00,0.01,,,,,,,
05-04-2023,18:30,0.00,0.00,,0.30,0.00,"16,000.00",0.00,0.01,,,,,,,
05-04-2023,19:00,0.00,0.00,,0.00,0.00,"12,000.00",0.00,0.00,,,,,,,
05-04-2023,19:30,0.00,0.00,,0.00,0.00,"12,000.00",0.00,0.00,,,,,,,
05-04-2023,20:00,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
05-04-2023,20:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,21:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,21:30,0.00,0.00,,0.00,0.00,"7,000.00",0.00,0.00,,,,,,,
05-04-2023,22:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
05-04-2023,22:30,0.00,0.00,,0.00,0.00,"18,000.00",0.00,0.00,,,,,,,
05-04-2023,23:00,0.00,0.00,,0.00,0.00,"7,000.00",0.00,0.00,,,,,,,
05-04-2023,23:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
06-04-2023,00:00,0.00,0.00,,0.00,0.00,"4,000.00",0.00,0.00,,,,,,,
06-04-2023,00:30,0.00,0.00,,0.00,0.00,"6,000.00",0.00,0.00,,,,,,,
06-04-2023,01:00,0.00,0.00,,0.00,0.02,"4,000.00",0.00,0.00,,,,,,,
06-04-2023,01:30,0.00,0.00,,0.00,0.00,"4,000.00",0.00,0.00,,,,,,,
06-04-2023,02:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
06-04-2023,02:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
06-04-2023,03:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
06-04-2023,03:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
06-04-2023,04:00,0.00,0.00,,0.52,0.00,0.00,0.00,0.00,,,,,,,
06-04-2023,04:30,0.13,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
06-04-2023,05:00,0.18,0.00,,0.00,0.00,"20,000.00",0.00,0.00,,,,,,,
06-04-2023,05:30,0.00,0.00,,0.00,0.00,"31,000.00",0.00,0.00,,,,,,,
06-04-2023,06:00,0.00,0.00,,0.00,0.01,"4,000.00",0.10,0.00,,,,,,,
06-04-2023,06:30,0.00,0.00,,0.00,0.00,"21,000.00",0.03,0.00,,,,,,,
06-04-2023,07:00,0.01,0.00,,0.00,0.00,"5,000.00",0.01,0.02,,,,,,,
06-04-2023,07:30,0.00,0.00,,0.00,0.02,0.00,0.05,0.01,,,,,,,
06-04-2023,08:00,0.00,0.00,,0.00,0.02,"18,000.00",0.00,0.01,,,,,,,
06-04-2023,08:30,0.01,0.00,,0.46,0.00,"19,000.00",0.02,0.01,,,,,,,
06-04-2023,09:00,0.00,0.00,,0.14,0.01,"8,000.00",0.02,0.00,,,,,,,
06-04-2023,09:30,0.01,0.00,,0.00,0.03,"32,000.00",0.02,0.10,,,,,,,
06-04-2023,10:00,0.01,0.00,,0.00,0.02,"7,000.00",0.05,0.00,,,,,,,
